 ,Major,Minor,Angle
819,56.8,18.3,129.5
820,46.9,15.2,81.1
821,56.8,18.7,74.5
822,52.5,15.4,39.1
823,55.3,21.2,126.1
824,53.9,19.2,28.8
825,59.1,20.3,73.8
826,49.8,17.6,140.3
827,56.1,20.6,68.3
828,57.4,19.0,140.5
829,56.6,17.6,0.3
830,54.6,16.7,170.4
831,62.4,20.2,176.3
832,65.0,17.9,83.4
833,54.7,19.0,43.6
834,48.1,16.3,65.8
835,52.4,19.2,60.0
836,49.4,16.5,41.7
837,59.3,19.5,71.8
838,66.3,17.7,25.0
839,54.6,19.8,48.1
840,61.7,17.9,148.2
841,52.8,17.2,95.3
842,53.0,19.9,165.8
843,54.7,20.6,134.6
844,65.9,19.4,65.7
845,55.9,18.1,162.5
846,60.4,17.2,72.6
847,57.1,16.3,177.3
848,59.6,18.6,64.1
849,50.6,20.3,70.9
850,51.3,18.4,33.1
851,53.8,20.9,75.8
852,56.0,19.9,148.7
853,55.8,19.1,38.2
854,54.0,14.9,104.8
855,47.7,15.7,133.2
856,49.5,18.3,23.8
857,45.3,18.5,42.6
858,55.2,20.7,59.6
859,58.1,17.0,137.7
860,55.0,19.2,148.4
861,52.8,18.8,36.1
862,57.8,21.3,42.8
863,50.6,17.9,23.9
864,54.5,18.1,62.7
865,55.3,19.8,38.4
866,48.3,18.4,165.7
867,48.0,16.0,54.8
868,53.0,19.3,148.2
869,49.8,17.6,62.1
870,63.3,20.5,26.3
871,53.0,16.9,78.0
872,54.1,18.5,42.6
873,62.6,20.8,98.0
874,55.7,18.5,81.0
875,48.2,17.9,79.9
876,50.6,20.6,171.5
877,53.2,19.3,38.5
878,52.2,19.4,26.0
879,62.7,18.9,129.4
880,55.2,19.2,99.7
881,56.5,19.6,104.2
882,48.2,19.7,68.1
883,59.3,19.1,121.9
884,56.0,16.3,59.3
885,60.3,18.9,38.7
886,49.2,17.7,82.5
887,57.7,17.9,99.4
888,55.3,18.4,50.7
889,55.8,18.5,136.3
890,53.9,20.5,79.5
891,62.1,18.5,86.3
892,58.4,20.9,76.0
893,61.0,16.4,65.2
894,51.5,17.7,42.9
895,51.9,16.3,104.6
896,53.8,19.7,2.7
897,45.9,17.2,77.4
898,55.5,17.6,64.5
899,49.9,16.9,67.3
900,56.1,19.3,14.8
901,66.4,22.0,29.2
902,51.6,16.5,38.7
903,54.5,20.3,147.5
904,60.9,19.6,66.4
905,59.2,20.3,130.8
906,51.9,19.2,126.3
907,50.4,19.6,119.2
908,49.1,17.4,132.9
909,54.6,18.8,172.0
910,58.2,20.5,25.0
911,65.2,20.2,157.4
912,56.8,21.3,141.7
913,46.9,17.4,5.6
914,55.2,19.8,138.0
915,45.5,16.2,23.4
916,51.3,17.2,26.5
917,58.3,20.4,100.8
918,52.5,19.6,157.5
919,51.0,19.3,171.2
920,50.9,18.5,34.2
921,56.4,19.8,60.2
922,62.8,19.8,29.9
923,56.7,17.5,154.3
924,49.3,17.2,39.9
925,61.2,20.3,30.4
926,55.6,19.3,114.5
927,54.1,19.7,90.4
928,52.9,18.5,165.1
929,53.7,18.6,162.5
930,62.1,18.0,36.4
931,49.0,18.8,180.0
932,58.3,20.9,66.9
933,49.9,18.0,28.8
934,50.5,18.4,120.3
935,53.3,16.4,113.1
936,50.4,18.1,156.5
937,52.4,16.7,177.4
938,56.7,18.3,126.9
939,53.9,17.6,68.7
940,53.9,19.6,157.1
941,56.0,21.0,5.4
942,55.3,18.6,166.8
943,55.3,18.9,108.7
944,59.6,19.4,43.9
945,51.0,17.3,36.9
