Wavelength (nm),Au@BSPP@10C,Au@BSPP@25C,Au@BSPP@40C,Au@BSPP@60C,Au@BSPP@70C,Au@BSPP@80C
595,1.37159964525171,1.23083664941455,0.754525098808264,0.670985319045283,0.64522705963991,0.634448516784835
594,1.37303701783114,1.23384322436966,0.763620243306074,0.685310516178787,0.66017120763955,0.648991656074399
593,1.37409732095178,1.23600083920103,0.773291594060801,0.699675866740263,0.675318406563109,0.663937280889581
592,1.37500592062021,1.23875790148232,0.783811718651444,0.715250189908955,0.692067957568455,0.680044419410739
591,1.37715548785008,1.24060076926906,0.794371959465965,0.731036425843375,0.70820055223085,0.69639069346151
590,1.37720121851065,1.24364767997862,0.804917581228253,0.74671502762912,0.724184226116894,0.711680379790241
589,1.37770785532742,1.24507510740598,0.816265041956579,0.762861469584176,0.741148573310346,0.728913985158063
588,1.37866351103318,1.24787966340448,0.827562365241172,0.780021884581454,0.758728751940303,0.746568234204386
587,1.37820488014857,1.2500706369961,0.839779693609803,0.797386855551487,0.777086456109083,0.76448651333281
586,1.37985096790757,1.25309037000334,0.852561476847974,0.815575343912756,0.796184010419501,0.783213951273031
585,1.38031122482942,1.25507603298713,0.865251158461302,0.834394243656643,0.815419452769667,0.802108596295485
584,1.38130595295469,1.25630367274819,0.878362373154356,0.853671577355234,0.835129872381693,0.821800690297432
583,1.38081714992515,1.25831059698982,0.892165757397378,0.873460800325974,0.856161870881922,0.842363344389026
582,1.3806993499199,1.2609003827708,0.906400757530768,0.893320540937644,0.876576365273284,0.862695990905293
581,1.38278371786527,1.26374643886272,0.921000461843018,0.915039542721134,0.898331646273461,0.884051849970738
580,1.38143131582792,1.26576432701318,0.936418259638826,0.936642202473234,0.920093430061782,0.906533754429418
579,1.38017003320516,1.26780934942377,0.95285852016036,0.959005673095189,0.944376946016978,0.929165302734751
578,1.38076905411616,1.26943208624553,0.968681928120075,0.981674929613672,0.967297774479422,0.952312449646108
577,1.3813547700945,1.27185816254668,0.985102196817916,1.00513049113909,0.991410749208617,0.976581745522438
576,1.38111914377427,1.27414832009614,1.00242218767552,1.02948474502107,1.01589349559993,1.00119037178355
575,1.38032621651475,1.27651822938049,1.01984858943526,1.05384777305412,1.0409275402234,1.02564184362675
574,1.37914640870318,1.27845620184113,1.0389811419747,1.07942782811242,1.06779513937649,1.05138569383798
573,1.37859785767292,1.28051272417817,1.05749906948448,1.10558963526477,1.09475869471983,1.07817881778002
572,1.37865457354552,1.28163723993247,1.07727503813929,1.13138862523514,1.12108488156475,1.10414419629933
571,1.37658684043168,1.2845147690409,1.09694092519009,1.15802195076901,1.14835306569377,1.13111056780354
570,1.37645505352109,1.28620164050813,1.11776718623176,1.18766280497596,1.17722856820368,1.1612721603062
569,1.37435471846186,1.28893007795647,1.13971886951817,1.21693703023523,1.20741604203423,1.19030417740435
568,1.37337278588385,1.29087754796105,1.16290848058606,1.24841881794201,1.23825387040353,1.22166295938868
567,1.3705220616061,1.29223351102677,1.1852898132602,1.27663203906926,1.26847541653807,1.25177293015697
566,1.37048131927771,1.29609981638506,1.20713472178071,1.30565576792131,1.2971760230246,1.27984138811975
565,1.36806107818719,1.29744406383571,1.23121257482506,1.33624073408332,1.32976615464121,1.3106512020401
564,1.36642532741641,1.30038341860731,1.2578205403798,1.3713993469371,1.36310619026298,1.34428762155944
563,1.36501477290084,1.30115629872461,1.28153485707477,1.40487321134328,1.39719659521798,1.37753242751057
562,1.3622906379041,1.30456234811819,1.30706116969069,1.437253310873,1.43104586817796,1.41224464595776
561,1.3601775936673,1.30654481844548,1.33381245476204,1.46869096924647,1.46396578642973,1.44472536362878
560,1.35793513886484,1.30869772564366,1.36003619933025,1.50611789704346,1.50111606362951,1.47906132784516
559,1.35340551990263,1.31047947271978,1.38874930272212,1.54287321735109,1.53457766289767,1.51498077190285
558,1.35248737330827,1.31434485512488,1.41674462379849,1.57818984564534,1.5723423614742,1.55083575341257
557,1.34954920412181,1.3156504473726,1.44523388607578,1.61491709270518,1.60764671956245,1.58652039006885
556,1.34671722300968,1.31935754852703,1.47466488306408,1.64920454063611,1.64699388582616,1.62281777219759
555,1.34511619034544,1.32061440696538,1.50501047535844,1.68736256282218,1.68243709261366,1.6578391649522
554,1.34050898603855,1.32262306726995,1.53463592155906,1.72476197911327,1.71998350005989,1.69681353446698
553,1.33757533087607,1.32619021142087,1.56363098681159,1.76019942437781,1.75751575366039,1.73372724648723
552,1.33516490550757,1.32782381763665,1.59483933385567,1.79934297060731,1.79161966538458,1.77005879279142
551,1.33106023697482,1.33136679446842,1.62601797322211,1.83757492985303,1.83187524503124,1.80569115969082
550,1.32751503824392,1.33293755463632,1.65582605330871,1.87795782346749,1.87165818867174,1.84218231615636
549,1.32418522748341,1.3343788824413,1.69137858934045,1.91941226719832,1.9081484844878,1.88361966064792
548,1.32101324164738,1.33796511399647,1.72029287289016,1.95281595113262,1.94602562166088,1.92295917024633
547,1.31598194737931,1.34002965020023,1.7499573274646,1.99128356333449,1.9821612704255,1.95470027862956
546,1.31309527216047,1.34249969840669,1.78120877616606,2.02236727452674,2.01465553313893,1.99190525568602
545,1.30846553839614,1.34444246672769,1.81485764696621,2.06473231503294,2.05675050132445,2.0291261467627
544,1.30471445718513,1.34651761970575,1.8442175539625,2.0976710591288,2.0916676460012,2.0615379215414
543,1.30023020252066,1.34937277991347,1.874047938585,2.13451206451486,2.12781707598942,2.10009678214391
542,1.29678582300686,1.35109232242416,1.90166690378188,2.16593574521133,2.16207563909549,2.133184087161
541,1.2932044367346,1.35324507445059,1.92742911028282,2.19632528284595,2.18385818880789,2.15989153380398
540,1.28826163761816,1.35461694040951,1.95947591671744,2.22589894194173,2.22194768330321,2.18750611492445
539,1.28390325639479,1.3555997719443,1.9871519288954,2.26083154636248,2.25154670944018,2.2265227315333
538,1.27763372415408,1.35631610512615,2.01208257671938,2.29710279372902,2.28613763285386,2.25705585183461
537,1.27503235921924,1.35764537334556,2.03583968444024,2.32106827653284,2.30600643037936,2.28345624860249
536,1.26983046818386,1.35918447036671,2.06127631938723,2.34837303505132,2.3342563912251,2.31366329572138
535,1.26392007355313,1.35815843959159,2.08811475311972,2.37880096257786,2.36435783535789,2.33581506244027
534,1.25921551763553,1.35973347221933,2.10791606540485,2.40573100686306,2.3910697665616,2.35661618285373
533,1.25574642503805,1.35988795895657,2.11849738211344,2.42113596420205,2.4073391882954,2.38000746341263
532,1.25005259545675,1.35872137006185,2.13842812378212,2.43496929532236,2.43426209544922,2.39825634684275
531,1.24427756312855,1.35783691848103,2.15884066846339,2.45593982944684,2.44790669743614,2.41724718167231
530,1.23829131148898,1.35667559801567,2.17597298801582,2.47346434454808,2.46245157767571,2.4289382302839
529,1.23468141544893,1.35568834992156,2.18214767492255,2.48565833563456,2.47800462094009,2.4397598246987
528,1.23024389952036,1.3549213591285,2.19653153271934,2.49169092996871,2.48666325896494,2.45290817244107
527,1.22459540698013,1.35177470391118,2.2023586795813,2.50353043051937,2.49543244651589,2.46372185083412
526,1.21853257082543,1.3501466193029,2.21460841346899,2.50768447064226,2.50051569980068,2.47127107881441
525,1.21300627928152,1.34612123682607,2.21684481855866,2.51434707832178,2.51250494961714,2.47393930863711
524,1.20751754353305,1.3439052679208,2.2177357305234,2.52276392140714,2.50024532957539,2.48125790426777
523,1.20202079375382,1.33961173463504,2.21844078895905,2.5154604054424,2.50987832227393,2.4737080670732
522,1.19571172211724,1.33567110349636,2.21635020488876,2.50754587573842,2.50635147931723,2.45350467688069
521,1.1894638101887,1.32997864474826,2.21874495220518,2.5171536782689,2.50628331330341,2.47380059709074
520,1.1834726250672,1.32446780909559,2.21576570694063,2.50671679261734,2.496266842549,2.46548387550392
519,1.17837527799321,1.3196995253325,2.20751355189264,2.4976955733707,2.48635241202132,2.45366346550985
518,1.17254812320135,1.31498382824964,2.19982752420617,2.49042198439283,2.48097896547043,2.44447751033282
517,1.16655052840643,1.30886436982617,2.19021959363556,2.46353846714197,2.46154302220847,2.43402365113902
516,1.16060713952669,1.30211904956041,2.1753473105981,2.46248231405299,2.44695696980337,2.42272408735261
515,1.1546328274742,1.2965836480568,2.16385550962299,2.44245246346203,2.4253791041302,2.39805021962659
