Wavelength (nm),Au@Cit.
772,0.0920954369704155
771,0.0920797888965537
770,0.0918249550655403
769,0.0930782344742273
768,0.0933304353210222
767,0.0932934670750182
766,0.0948218951007638
765,0.0940864711409705
764,0.0949530424907155
763,0.0948646295981453
762,0.0957827777698771
761,0.0956927438044178
760,0.0967671394951569
759,0.0975133419794622
758,0.0971383484342
757,0.0984276313638911
756,0.0984170785049924
755,0.0988221350288494
754,0.0992959869190464
753,0.0999369252589603
752,0.100596954655078
751,0.100554598660473
750,0.10135912176411
749,0.101640057972472
748,0.101042889518199
747,0.102997755076885
746,0.103706036745046
745,0.103314166640497
744,0.104719546247285
743,0.105077867488348
742,0.105414309843876
741,0.105972818555665
740,0.106684218865193
739,0.107332781761173
738,0.107569457047587
737,0.108242924819964
736,0.108628000265476
735,0.109072745329822
734,0.109524341989128
733,0.109359916300598
732,0.11010774424666
731,0.110259473205564
730,0.110589002318592
729,0.111008385124493
728,0.11139615572396
727,0.11246189890276
726,0.11214592611842
725,0.112743702475273
724,0.11357252591369
723,0.113565767735793
722,0.11446835997098
721,0.115040801420757
720,0.115707853435064
719,0.116119832410434
718,0.117029821347203
717,0.117037785985933
716,0.117775334154785
715,0.118256978151756
714,0.119024349562494
713,0.119594683683268
712,0.120264914043323
711,0.120739894040444
710,0.121739344217439
709,0.122330033568922
708,0.12263829672614
707,0.123858427544426
706,0.124416912992365
705,0.125311136450282
704,0.125967765751685
703,0.126795722224257
702,0.127725394811831
701,0.128508720927792
700,0.129265015637068
699,0.13019908656736
698,0.131326756066466
697,0.132121628681913
696,0.132848217629694
695,0.133379397267092
694,0.134910975486856
693,0.135788270670473
692,0.136814629607296
691,0.137505275697199
690,0.138932928479144
689,0.139811072203794
688,0.140815094996373
687,0.142286769987665
686,0.142900090863693
685,0.144419829650685
684,0.145216161233121
683,0.146385879500332
682,0.147978116575029
681,0.148819475120055
680,0.150225383865111
679,0.151293445576678
678,0.152678811407318
677,0.154099209285268
676,0.155718845781834
675,0.156737866349105
674,0.158192825116883
673,0.159795926684719
672,0.161106081581145
671,0.16283529777209
670,0.164422281805466
669,0.166058186426382
668,0.167606747495687
667,0.16908553628134
666,0.17093462757699
665,0.17259606547698
664,0.17424180611745
663,0.176225071295552
662,0.178024838264108
661,0.179985060414503
660,0.181829230788619
659,0.18361224095185
658,0.185638506333703
657,0.1874974447975
656,0.189880358532566
655,0.191850460796144
654,0.194091478292509
653,0.196368570666946
652,0.198425579527451
651,0.200925503362391
650,0.203066439424935
649,0.205698661965142
648,0.208255479055621
647,0.210739326712111
646,0.213254719132358
645,0.215914462100703
644,0.218727043091697
643,0.2213810091666
642,0.224572477981724
641,0.227192847375796
640,0.230240364210103
639,0.233458856513134
638,0.236902369173441
637,0.240043147995644
636,0.243424568712976
635,0.246232330396399
634,0.249354730316877
633,0.253047285188725
632,0.256898372280942
631,0.260639348926603
630,0.26459616937019
629,0.268265713010295
628,0.272428172621866
627,0.276309228793735
626,0.28005697963206
625,0.284204805528786
624,0.289077173527317
623,0.29371399780709
622,0.298090004460064
621,0.302592510371082
620,0.307935246215
619,0.312813521940468
618,0.317840710578541
617,0.323078931362973
616,0.32805393306294
615,0.334044662909663
614,0.339213539489605
613,0.345484771936686
612,0.351309886334214
611,0.357383099111039
610,0.363229573879357
609,0.369124185198886
608,0.375923068849413
607,0.383143895433466
606,0.390083561038447
605,0.396734162099006
604,0.403382511952003
603,0.410706895895911
602,0.418766968015661
601,0.426474216888117
600,0.434594894324071
599,0.443460725873051
598,0.451848150116031
597,0.459747850719768
596,0.468370699339917
595,0.477946363747356
594,0.487027863184695
593,0.49714883301453
592,0.50707381228463
591,0.517413016153129
590,0.527778085006574
589,0.538724281211757
588,0.549867064717107
587,0.561393086506676
586,0.573414254707381
585,0.585447518805496
584,0.598135447687459
583,0.611204895288812
582,0.624348380945027
581,0.63820888077717
580,0.652075544933388
579,0.666608680997707
578,0.68172485970701
577,0.697131106784433
576,0.712694844442598
575,0.72848117325746
574,0.745387207779152
573,0.762666774899747
572,0.77962905495589
571,0.79717512209694
570,0.815806321379138
569,0.835479810551049
568,0.855501718582447
567,0.874922158299359
566,0.894086189864438
565,0.915116313893655
564,0.936903139452347
563,0.959682738798853
562,0.982051558153423
561,1.00494406558961
560,1.0281616942877
559,1.05303270603303
558,1.07692581812394
557,1.10210706550447
556,1.12698333897286
555,1.15372809192278
554,1.18005737063401
553,1.20555791865757
552,1.23279635193392
551,1.25949840390702
550,1.28828202967172
549,1.31636883869118
548,1.34399213529704
547,1.37009974961857
546,1.39782261711198
545,1.4260254952815
544,1.4543605173573
543,1.48197370814168
542,1.50746227809214
541,1.53039891837633
540,1.55810151393778
539,1.5864987238331
538,1.61300106760863
537,1.6365307479152
536,1.65854773145427
535,1.68484215956194
534,1.70638304118515
533,1.72445395384269
532,1.74487939551301
531,1.76411904156588
530,1.78311591869181
529,1.79632837890528
528,1.80814761646112
527,1.82216726299006
526,1.83378109248989
525,1.84108865622777
524,1.85182974625666
523,1.85689824351701
522,1.85877501323647
521,1.86449009467843
520,1.86559956111454
519,1.86429918023313
518,1.86163685877407
517,1.85889321857249
516,1.85283797517131
515,1.84387370845167
514,1.8373044287354
513,1.8268926827582
512,1.8151228418451
511,1.80345107261115
510,1.7899205336988
509,1.77445726425079
508,1.76155198896865
507,1.7436057551674
506,1.72813875683956
505,1.71099045317298
504,1.69218060805397
503,1.67620545185385
502,1.6567456858509
501,1.63850713481948
500,1.62167459789062
499,1.60096590232514
498,1.58329521031128
497,1.56531752680384
496,1.54805520214274
495,1.52961009550793
494,1.51045233991483
493,1.49204403687015
492,1.47786272107156
