Wavelength (nm),Au@BSPP@70C,Au@BSPP@5C
889,0.0440961870817296,0.963092045978177
888,0.0445210516600118,0.961090010466845
887,0.0446172277479257,0.960540589123914
886,0.0448496527638129,0.95691151267074
885,0.0448225588019366,0.958301617392979
884,0.0449672900073159,0.957990081515662
883,0.0455097577321994,0.95608813781235
882,0.0464446851519857,0.956649082202217
881,0.0474105004901067,0.95639043919776
880,0.0476108019650167,0.956101620306261
879,0.0474392000772971,0.953787746719327
878,0.0478045203568722,0.953937534230572
877,0.0477257513441516,0.951643844800321
876,0.0480547630864658,0.952989635177977
875,0.0483784974022887,0.951127806375708
874,0.0487280148265976,0.946641175554444
873,0.0489758058479285,0.947322924727354
872,0.0495437612874895,0.945638098109436
871,0.0493423055248217,0.946310609812407
870,0.0508745249550684,0.94589301397181
869,0.0504386050599523,0.942517016080652
868,0.050805759823394,0.943962939337544
867,0.0512591760244929,0.943171479013183
866,0.0520644030972536,0.938472174608768
865,0.052317521987644,0.940231466799536
864,0.0518471322127651,0.943348746004151
863,0.0530292693991352,0.939764631275203
862,0.053888103190009,0.934285917330456
861,0.0537948916719409,0.939175863490517
860,0.0542997799776542,0.935824908435117
859,0.0548768896078237,0.935563195607518
858,0.0549126374438352,0.935258708970346
857,0.054267220989889,0.931633006776544
856,0.0561810473911586,0.932802362740949
855,0.0566877456347109,0.933860463382127
854,0.0575341102946195,0.930206274739065
853,0.0572759842705641,0.928085688645617
852,0.0578970815675416,0.930736291302965
851,0.0578250958931775,0.922387397645315
850,0.0598536863367373,0.926565170814164
849,0.0585077833537214,0.923022387176823
848,0.0594085161192314,0.930048668340452
847,0.0599124290689101,0.925647708861641
846,0.0601612154997892,0.921463506022352
